City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Queenstown,-45.0322,168.661,14.76,68,97,2.29,NZ,2024-11-06
1,Margaret River,-33.9532,115.0769,10.08,74,10,2.79,AU,2024-11-06
2,Susuman,62.7805,148.1536,-34.17,100,93,0.3,RU,2024-11-06
3,Whitehorse,60.7216,-135.0549,2.83,59,75,0.0,CA,2024-11-06
4,Hermanus,-34.4175,19.2361,16.02,77,2,7.23,ZA,2024-11-06
5,Bonthe,7.5273,-12.502,26.4,84,0,2.82,SL,2024-11-06
6,Edinburgh of the Seven Seas,-37.0676,-12.3108,14.78,88,17,6.48,SH,2024-11-06
7,Anadyr,64.7317,177.5061,-11.07,79,0,5.0,RU,2024-11-06
8,Thompson,55.7433,-97.8635,-0.9,80,75,4.12,CA,2024-11-06
9,Port-aux-Français,-49.3498,70.22,3.28,73,32,8.98,TF,2024-11-06
10,Klaksvik,62.2266,-6.5853,10.19,99,100,12.45,FO,2024-11-06
11,Loukhi,66.0761,33.0419,1.36,86,100,3.5,RU,2024-11-06
12,Whakatāne,-37.9519,176.9946,16.97,97,98,2.06,NZ,2024-11-06
13,Punta Arenas,-53.1626,-70.9078,10.16,53,40,13.38,CL,2024-11-06
14,Tazovsky,67.4735,78.7149,-11.34,94,100,3.84,RU,2024-11-06
15,Jamestown,-15.9277,-5.7161,18.97,73,81,6.76,SH,2024-11-06
16,Bilibino,68.055,166.4449,-23.51,100,100,0.43,RU,2024-11-06
17,Tongren,27.7347,109.1852,12.95,67,65,0.96,CN,2024-11-06
18,Kodiak,57.79,-152.4072,5.73,70,0,5.66,US,2024-11-06
19,Bachatsky,54.2829,86.1055,5.0,73,100,5.55,RU,2024-11-06
20,Lebu,-37.61,-73.6559,12.77,67,75,7.08,CL,2024-11-06
21,Saint-Philippe,45.3584,-73.479,19.98,56,100,7.72,CA,2024-11-06
22,Coxim,-18.5049,-54.745,29.82,61,100,3.48,BR,2024-11-06
23,Mangai,-1.7507,41.1721,23.67,98,29,1.25,KE,2024-11-06
24,Daru,-9.0699,143.21,26.72,82,100,4.93,PG,2024-11-06
25,Nova Sintra,14.8711,-24.6956,25.28,74,100,8.02,CV,2024-11-06
26,Blackmans Bay,-43.0047,147.318,13.13,59,4,0.89,AU,2024-11-06
27,Invercargill City,-46.4118,168.3471,17.23,80,76,0.89,NZ,2024-11-06
28,Ushuaia,-54.8061,-68.3185,5.83,75,75,8.23,AR,2024-11-06
29,Bethel,60.7922,-161.7558,2.19,93,100,5.66,US,2024-11-06
30,Palmer,61.5996,-149.1111,5.06,63,100,3.6,US,2024-11-06
31,Hithadhoo,1.7959,73.3876,27.79,75,69,3.57,MV,2024-11-06
32,Papao,12.6919,-16.3792,26.06,89,0,0.0,SN,2024-11-06
33,Kralendijk,12.1473,-68.274,29.03,74,20,5.66,BQ,2024-11-06
34,Alice Springs,-23.6984,133.8813,23.75,69,100,6.17,AU,2024-11-06
35,Adi Keyh,14.8476,39.3725,14.31,71,0,2.1,ER,2024-11-06
36,Quzhou County,36.7699,114.9585,9.89,47,6,4.75,CN,2024-11-06
37,Adamstown,-25.0667,-130.1002,22.57,81,100,0.17,PN,2024-11-06
38,City of Georgetown,6.8137,-58.1624,30.99,70,20,3.09,GY,2024-11-06
39,West Island,-12.1459,96.8423,26.03,89,75,9.77,CC,2024-11-06
40,Iqaluit,63.7494,-68.5219,-4.03,85,100,2.06,CA,2024-11-06
41,Bredasdorp,-34.5331,20.0428,14.97,73,10,5.52,ZA,2024-11-06
42,Richards Bay,-28.7708,32.0578,18.6,75,97,4.02,ZA,2024-11-06
43,Hawaiian Paradise Park,19.585,-154.9731,27.09,76,0,5.14,US,2024-11-06
